Date,Dividends
2010-12-22,0.183000
2011-03-25,0.206000
2011-06-24,0.144000
2011-09-23,0.255000
2011-12-21,0.331000
2012-03-26,0.256000
2012-06-25,0.291000
2012-09-24,0.285000
2012-12-20,0.473000
2013-03-22,0.288000
2013-06-24,0.356000
2013-09-23,0.348000
2013-12-20,0.454000
2014-03-24,0.331000
2014-06-23,0.392000
2014-09-22,0.374000
2015-03-23,0.345000
2015-06-22,0.444000
2015-09-21,0.441000
2015-12-21,0.535000
2016-03-21,0.421000
2016-06-21,0.438000
2016-09-20,0.498000
2016-12-14,0.587000
2017-03-22,0.410000
2017-06-28,0.522000
2017-09-27,0.555000
2017-12-14,0.583000
2018-03-22,0.438000
2018-06-28,0.559000
2018-09-26,0.632000
2018-12-13,0.614000
2019-03-25,0.524000
2019-06-21,0.584000
2019-09-26,0.666000
2019-12-16,0.667000
2020-03-26,0.636000
2020-06-25,0.594000
2020-09-11,0.515000
2020-12-17,0.801000
2021-03-26,0.536000
2021-06-29,0.572000
2021-09-29,0.648000
2021-12-16,0.776000
2022-03-24,0.594000
2022-06-29,0.679000
2022-09-28,0.757000
2022-12-15,0.733000
2023-03-23,0.683000
2023-06-23,0.690000
