Date,Dividends
2004-03-29,0.090000
2004-06-28,0.070000
2004-09-27,0.089000
2004-12-27,0.364000
2005-03-24,0.110000
2005-06-27,0.091000
2005-09-26,0.112000
2005-12-27,0.147000
2006-03-20,0.149000
2006-06-26,0.114000
2006-09-25,0.112000
2006-12-22,0.153000
2007-03-26,0.134000
2007-06-25,0.153000
2007-09-24,0.154000
2007-12-20,0.159000
2008-03-25,0.131000
2008-06-24,0.140000
2008-09-24,0.138000
2008-12-22,0.168000
2009-03-25,0.148000
2009-06-24,0.145000
2009-09-24,0.142000
2009-12-22,0.179000
2010-03-25,0.145000
2010-06-24,0.149000
2010-09-24,0.203000
2010-12-27,0.203000
2011-03-25,0.170000
2011-06-24,0.195000
2011-09-23,0.174000
2011-12-23,0.227000
2012-03-26,0.194000
2012-06-25,0.209000
2012-09-24,0.248000
2012-12-24,0.422000
2013-03-22,0.227000
2013-06-24,0.258000
2013-09-23,0.278000
2013-12-24,0.347000
2014-03-25,0.275000
2014-06-24,0.275000
2014-09-24,0.304000
2014-12-22,0.406000
2015-03-25,0.332000
2015-06-22,0.296000
2015-09-21,0.347000
2015-12-17,0.413000
2016-03-21,0.320000
2016-06-14,0.323000
2016-09-13,0.376000
2016-12-22,0.528000
2017-03-24,0.379000
2017-06-23,0.341000
2017-09-22,0.411000
2017-12-21,0.475000
2018-03-22,0.359000
2018-06-22,0.419000
2018-09-28,0.467000
2018-12-24,0.527000
2019-03-28,0.432000
2019-06-27,0.413000
2019-09-16,0.385000
2019-12-24,0.508000
2020-03-26,0.398000
2020-06-25,0.419000
2020-09-25,0.406000
2020-12-24,0.461000
2021-03-25,0.381000
2021-06-24,0.374000
2021-09-24,0.317000
2021-12-27,0.469000
2022-03-23,0.301000
2022-06-23,0.321000
2022-09-23,0.430000
2022-12-22,0.448000
2023-03-23,0.429000
2023-06-23,0.412000
