Date,Open,High,Low,Close,Adj Close,Volume
1993-03-04,2.500000,2.500000,2.312500,2.500000,2.016257,10500
1993-03-05,2.250000,2.250000,2.250000,2.250000,1.814631,2200
1993-03-08,2.250000,2.500000,2.250000,2.500000,2.016257,2400
1993-03-09,2.312500,2.500000,2.250000,2.500000,2.016257,23200
1993-03-10,2.500000,2.500000,2.250000,2.375000,1.915444,29000
1993-03-11,2.250000,2.250000,2.250000,2.250000,1.814631,1400
1993-03-12,2.250000,2.500000,2.125000,2.125000,1.713818,47200
1993-03-15,2.500000,2.500000,2.250000,2.500000,2.016257,12800
1993-03-16,2.500000,2.500000,2.250000,2.500000,2.016257,7600
1993-03-17,2.375000,2.500000,2.125000,2.250000,1.814631,30000
1993-03-18,2.250000,2.593750,2.250000,2.593750,2.091866,65300
1993-03-19,2.437500,2.625000,2.312500,2.625000,2.117069,48700
1993-03-22,2.375000,2.562500,2.375000,2.562500,2.066663,4000
1993-03-23,2.500000,2.750000,2.437500,2.750000,2.217882,15000
1993-03-24,2.500000,2.750000,2.500000,2.625000,2.117069,22000
1993-03-25,2.750000,2.750000,2.437500,2.750000,2.217882,35700
1993-03-26,2.500000,2.750000,2.500000,2.687500,2.167476,38000
1993-03-29,2.562500,2.562500,2.562500,2.562500,2.066663,4400
1993-03-30,2.562500,2.875000,2.500000,2.875000,2.318695,43000
1993-03-31,2.875000,2.875000,2.500000,2.750000,2.217882,44300
1993-04-01,2.750000,2.750000,2.500000,2.500000,2.016257,13500
1993-04-02,2.500000,2.750000,2.500000,2.687500,2.167476,24000
1993-04-05,2.625000,2.625000,2.625000,2.625000,2.117069,4000
1993-04-06,2.625000,2.875000,2.375000,2.437500,1.965850,21400
1993-04-07,2.375000,2.875000,2.375000,2.562500,2.066663,6100
1993-04-08,2.375000,2.500000,2.250000,2.250000,1.814631,8300
1993-04-12,2.875000,3.000000,2.250000,2.500000,2.016257,10100
1993-04-13,3.000000,3.000000,2.375000,2.750000,2.217882,7100
1993-04-14,3.000000,3.000000,2.437500,2.937500,2.369102,16000
1993-04-15,2.593750,3.000000,2.500000,2.750000,2.217882,25700
1993-04-16,2.625000,3.000000,2.625000,2.687500,2.167476,17900
1993-04-19,2.625000,3.000000,2.625000,2.625000,2.117069,10400
1993-04-20,2.625000,3.000000,2.625000,3.000000,2.419508,39500
1993-04-21,3.000000,3.000000,2.687500,3.000000,2.419508,25600
1993-04-22,2.718750,2.875000,2.687500,2.875000,2.318695,14700
1993-04-23,2.875000,2.875000,2.625000,2.875000,2.318695,25500
1993-04-26,2.625000,2.875000,2.625000,2.687500,2.167476,10400
1993-04-27,2.625000,2.843750,2.625000,2.625000,2.117069,16300
1993-04-28,2.625000,2.875000,2.625000,2.875000,2.318695,10300
1993-04-29,2.750000,2.875000,2.750000,2.875000,2.318695,3000
1993-04-30,2.625000,2.625000,2.625000,2.625000,2.117069,200
1993-05-03,2.625000,2.625000,2.625000,2.625000,2.117069,400
1993-05-04,2.875000,2.875000,2.875000,2.875000,2.318695,300
1993-05-05,2.625000,2.875000,2.625000,2.750000,2.217882,12400
1993-05-06,2.625000,2.750000,2.500000,2.718750,2.192679,38600
1993-05-07,2.875000,2.875000,2.500000,2.562500,2.066663,3100
1993-05-10,2.875000,2.875000,2.562500,2.625000,2.117069,8600
1993-05-11,2.500000,2.875000,2.500000,2.875000,2.318695,8000
1993-05-12,2.875000,2.875000,2.500000,2.687500,2.167476,4600
1993-05-13,2.562500,2.750000,2.562500,2.750000,2.217882,29400
1993-05-14,2.625000,2.875000,2.625000,2.875000,2.318695,19600
1993-05-17,2.937500,3.250000,2.812500,2.937500,2.369102,68400
1993-05-18,2.875000,3.250000,2.875000,3.062500,2.469914,25500
1993-05-19,2.875000,3.125000,2.875000,3.125000,2.520321,6500
1993-05-20,2.875000,3.250000,2.875000,2.937500,2.369102,32000
1993-05-21,3.125000,3.250000,3.000000,3.000000,2.419508,44600
1993-05-24,3.000000,3.500000,3.000000,3.062500,2.469914,9800
1993-05-25,3.062500,3.500000,3.000000,3.125000,2.520321,21300
1993-05-26,2.937500,3.500000,2.937500,3.500000,2.822759,9300
1993-05-27,3.500000,3.500000,3.000000,3.000000,2.419508,13000
1993-05-28,3.000000,3.500000,3.000000,3.500000,2.822759,6400
1993-06-01,3.500000,3.500000,3.250000,3.312500,2.671540,17500
1993-06-02,3.500000,3.500000,3.250000,3.375000,2.721947,13200
1993-06-03,3.375000,3.375000,3.125000,3.375000,2.721947,21000
1993-06-04,3.125000,3.250000,3.125000,3.250000,2.621133,6600
1993-06-07,3.250000,3.500000,3.125000,3.500000,2.822759,33200
1993-06-08,3.500000,3.500000,3.000000,3.000000,2.419508,15700
1993-06-09,3.375000,3.375000,3.000000,3.187500,2.570727,18800
1993-06-10,3.125000,3.500000,3.125000,3.250000,2.621133,34700
1993-06-11,3.250000,3.500000,3.187500,3.375000,2.721947,17100
1993-06-14,3.187500,3.375000,3.062500,3.375000,2.721947,12700
1993-06-15,3.375000,3.375000,3.062500,3.062500,2.469914,15400
1993-06-16,3.062500,3.375000,3.062500,3.375000,2.721947,13600
