Date,Open,High,Low,Close,Adj Close,Volume
2005-05-10,9.110000,9.116000,9.054000,9.063000,0.275969,2136000
2005-05-11,9.076000,9.110000,9.035000,9.108000,0.277339,615000
2005-05-12,9.114000,9.129000,9.024000,9.032000,0.275025,306000
2005-05-13,9.039000,9.051000,8.964000,9.003000,0.274142,294000
2005-05-16,9.024000,9.088000,9.024000,9.088000,0.276730,126000
2005-05-17,9.072000,9.145000,9.053000,9.143000,0.278405,69000
2005-05-18,9.196000,9.237000,9.170000,9.218000,0.280689,408000
2005-05-19,9.232000,9.255000,9.228000,9.247000,0.281571,51000
2005-05-20,9.245000,9.264000,9.242000,9.260000,0.281967,31000
2005-05-23,9.278000,9.307000,9.270000,9.297000,0.283094,72000
2005-05-24,9.276000,9.310000,9.276000,9.298000,0.283124,31000
2005-05-25,9.277000,9.284000,9.262000,9.284000,0.282698,14000
2005-05-26,9.320000,9.340000,9.312000,9.340000,0.284403,83000
2005-05-27,9.326000,9.339000,9.320000,9.338000,0.284342,56000
2005-05-31,9.336000,9.336000,9.281000,9.285000,0.282729,576000
2005-06-01,9.270000,9.373000,9.269000,9.364000,0.285134,44000
2005-06-02,9.335000,9.352000,9.321000,9.352000,0.284769,55000
2005-06-03,9.350000,9.350000,9.275000,9.275000,0.282424,520000
2005-06-06,9.252000,9.280000,9.252000,9.269000,0.282241,118000
2005-06-07,9.325000,9.357000,9.280000,9.280000,0.282576,773000
2005-06-08,9.305000,9.306000,9.298000,9.300000,0.283185,195000
2005-06-09,9.240000,9.300000,9.239000,9.290000,0.282881,20000
2005-06-10,9.295000,9.297000,9.250000,9.266000,0.282150,141000
2005-06-13,9.250000,9.315000,9.248000,9.299000,0.283155,27000
2005-06-14,9.286000,9.328000,9.286000,9.328000,0.284038,18000
2005-06-15,9.317000,9.317000,9.250000,9.300000,0.283185,72000
2005-06-16,9.322000,9.341000,9.320000,9.340000,0.284403,35000
2005-06-17,9.390000,9.395000,9.370000,9.383000,0.285713,123000
2005-06-20,9.357000,9.389000,9.355000,9.389000,0.285895,103000
2005-06-21,9.388000,9.388000,9.354000,9.384000,0.285743,163000
2005-06-22,9.398000,9.398000,9.360000,9.360000,0.285012,17000
2005-06-23,9.341000,9.350000,9.242000,9.242000,0.281419,76000
2005-06-24,9.227000,9.235000,9.189000,9.208000,0.280384,26000
2005-06-27,9.183000,9.189000,9.151000,9.164000,0.279044,69000
2005-06-28,9.186000,9.233000,9.186000,9.225000,0.280902,984000
2005-06-29,9.241000,9.247000,9.241000,9.247000,0.281571,7000
2005-06-30,9.187000,9.195000,9.118000,9.118000,0.277643,508000
2005-07-01,9.150000,9.150000,9.119000,9.119000,0.277674,72000
2005-07-05,9.135000,9.215000,9.131000,9.214000,0.280567,160000
2005-07-06,9.207000,9.219000,9.138000,9.138000,0.278252,1968000
2005-07-07,9.030000,9.140000,9.030000,9.140000,0.278313,357000
2005-07-08,9.174000,9.258000,9.174000,9.258000,0.281906,130000
2005-07-11,9.265000,9.309000,9.265000,9.287000,0.282789,108000
2005-07-12,9.300000,9.342000,9.279000,9.321000,0.283825,64000
2005-07-13,9.334000,9.340000,9.308000,9.340000,0.284403,76000
2005-07-14,9.400000,9.404000,9.380000,9.398000,0.286169,130000
2005-07-15,9.367000,9.391000,9.362000,9.391000,0.285956,62000
2005-07-18,9.350000,9.355000,9.321000,9.321000,0.283825,46000
2005-07-19,9.326000,9.342000,9.326000,9.336000,0.284282,332000
2005-07-20,9.343000,9.399000,9.330000,9.396000,0.286109,102000
2005-07-21,9.368000,9.376000,9.334000,9.368000,0.285256,70000
2005-07-22,9.345000,9.358000,9.314000,9.358000,0.284952,136000
2005-07-25,9.360000,9.373000,9.313000,9.320000,0.283794,83000
2005-07-26,9.339000,9.351000,9.330000,9.347000,0.284617,26000
2005-07-27,9.340000,9.368000,9.319000,9.368000,0.285256,63000
2005-07-28,9.392000,9.412000,9.365000,9.404000,0.286352,142000
2005-07-29,9.416000,9.416000,9.320000,9.320000,0.283794,10000
2005-08-01,9.350000,9.368000,9.338000,9.368000,0.285256,26000
2005-08-02,9.343000,9.390000,9.343000,9.390000,0.285926,6000
2005-08-03,9.390000,9.416000,9.385000,9.416000,0.286718,66000
2005-08-04,9.383000,9.392000,9.360000,9.360000,0.285012,64000
2005-08-05,9.336000,9.336000,9.316000,9.316000,0.283673,120000
2005-08-08,9.329000,9.335000,9.283000,9.289000,0.282850,51000
2005-08-09,9.335000,9.342000,9.326000,9.326000,0.283977,167000
2005-08-10,9.389000,9.421000,9.372000,9.379000,0.285591,2202000
2005-08-11,9.377000,9.377000,9.327000,9.327000,0.284007,48000
2005-08-12,9.329000,9.338000,9.302000,9.338000,0.284342,881000
2005-08-15,9.315000,9.346000,9.314000,9.346000,0.284586,33000
2005-08-16,9.335000,9.335000,9.290000,9.306000,0.283368,34000
2005-08-17,9.275000,9.285000,9.275000,9.285000,0.282729,11000
2005-08-18,9.265000,9.281000,9.265000,9.281000,0.282607,35000
2005-08-19,9.286000,9.298000,9.260000,9.260000,0.281967,27000
2005-08-22,9.285000,9.326000,9.275000,9.275000,0.282424,1178000
2005-08-23,9.280000,9.280000,9.249000,9.249000,0.281632,21000
2005-08-24,9.226000,9.272000,9.168000,9.168000,0.279166,13000
2005-08-25,9.181000,9.185000,9.174000,9.174000,0.279349,29000
2005-08-26,9.153000,9.168000,9.133000,9.149000,0.278587,19000
2005-08-29,9.120000,9.194000,9.117000,9.193000,0.279927,109000
2005-08-30,9.156000,9.167000,9.150000,9.167000,0.279135,36000
2005-08-31,9.167000,9.243000,9.141000,9.243000,0.281450,81000
2005-09-01,9.249000,9.270000,9.230000,9.260000,0.281967,82000
2005-09-02,9.266000,9.266000,9.239000,9.239000,0.281328,20000
2005-09-06,9.294000,9.347000,9.294000,9.347000,0.284617,136000
2005-09-07,9.350000,9.375000,9.348000,9.375000,0.285469,85000
2005-09-08,9.360000,9.371000,9.360000,9.363000,0.285104,24000
2005-09-09,9.386000,9.432000,9.386000,9.414000,0.286657,38000
2005-09-12,9.420000,9.420000,9.406000,9.406000,0.286413,18000
2005-09-13,9.373000,9.390000,9.331000,9.331000,0.284129,208000
2005-09-14,9.358000,9.358000,9.300000,9.314000,0.283612,17000
2005-09-15,9.333000,9.345000,9.302000,9.322000,0.283855,144000
2005-09-16,9.347000,9.363000,9.309000,9.359000,0.299335,716000
2005-09-19,9.343000,9.348000,9.289000,9.309000,0.297736,77000
2005-09-20,9.340000,9.368000,9.267000,9.274000,0.296617,160000
2005-09-21,9.249000,9.249000,9.198000,9.198000,0.294186,26000
2005-09-22,9.215000,9.228000,9.172000,9.225000,0.295050,95000
2005-09-23,9.192000,9.200000,9.185000,9.200000,0.294250,365000
2005-09-26,9.221000,9.241000,9.177000,9.185000,0.293770,136000
2005-09-27,9.163000,9.206000,9.163000,9.185000,0.293770,17000
2005-09-28,9.170000,9.200000,9.162000,9.200000,0.294250,16000
2005-09-29,9.178000,9.282000,9.175000,9.276000,0.296681,530000
2005-09-30,9.254000,9.255000,9.240000,9.240000,0.295529,14000
2005-10-03,9.275000,9.280000,9.217000,9.217000,0.294794,384000
2005-10-04,9.220000,9.232000,9.139000,9.139000,0.292299,56000
2005-10-05,9.145000,9.145000,9.046000,9.046000,0.289325,89000
2005-10-06,9.055000,9.074000,8.997000,9.021000,0.288525,636000
2005-10-07,9.065000,9.080000,9.016000,9.039000,0.289101,220000
2005-10-10,9.030000,9.053000,8.996000,9.005000,0.288013,239000
2005-10-11,9.035000,9.041000,8.992000,8.996000,0.287725,202000
2005-10-12,9.007000,9.011000,8.959000,8.980000,0.287214,202000
2005-10-13,8.984000,8.997000,8.936000,8.974000,0.287022,83000
2005-10-14,9.005000,9.026000,8.990000,9.026000,0.288685,13000
2005-10-17,9.035000,9.054000,9.012000,9.023000,0.288589,16000
2005-10-18,9.021000,9.043000,8.970000,8.970000,0.286894,27000
2005-10-19,8.939000,9.082000,8.939000,9.082000,0.290476,419000
2005-10-20,9.030000,9.030000,8.906000,8.939000,0.285902,195000
2005-10-21,8.990000,8.990000,8.938000,8.942000,0.285998,58000
2005-10-24,8.988000,9.066000,8.988000,9.066000,0.289964,21000
2005-10-25,9.055000,9.074000,9.023000,9.074000,0.290220,39000
2005-10-26,9.100000,9.120000,9.045000,9.046000,0.289325,107000
2005-10-27,9.029000,9.029000,8.970000,8.970000,0.286894,14000
