Date,Dividends
2005-06-17,0.035000
2005-09-16,0.028000
2005-12-16,0.029000
2006-03-17,0.016000
2006-03-21,0.016000
2006-06-16,0.021000
2006-09-15,0.025000
2006-12-15,0.051000
2007-03-16,0.031000
2007-06-15,0.048000
2007-09-21,0.031000
2007-12-21,0.479000
2008-03-20,0.015000
2008-06-20,0.032000
2008-09-19,0.028000
2008-12-19,0.041000
2009-03-20,0.014000
2009-06-19,0.031000
2009-09-18,0.027000
2009-12-18,0.022000
2010-06-18,0.021000
2010-09-17,0.028000
2010-12-17,0.130000
2011-06-17,0.045000
2011-09-16,0.040000
2011-12-16,0.069000
2012-03-16,0.034000
2012-06-15,0.076000
2012-09-21,0.072000
2012-12-21,0.185000
2013-03-15,0.018000
2013-06-21,0.097000
2013-09-20,0.046000
2013-12-20,0.125000
2014-03-21,0.021000
2014-06-20,0.083000
2014-09-19,0.043000
2014-12-19,0.195000
2015-03-20,0.053000
2015-06-19,0.114000
2015-09-18,0.188000
2015-12-18,0.259000
2016-03-18,0.036000
2016-06-17,0.136000
2016-09-16,0.136000
2016-12-16,0.386000
2017-03-17,0.017000
2017-06-16,0.103000
2017-09-18,0.157000
2017-12-18,0.308000
2018-06-18,0.275000
2018-09-24,0.113000
2018-12-24,0.283000
2019-06-24,0.160000
2019-09-23,0.072000
2019-12-23,0.180000
2020-03-23,0.189000
2020-06-22,0.080000
2020-12-21,0.087000
2021-03-22,0.119000
2021-06-21,0.109000
2021-12-20,0.278000
2022-03-21,0.207000
2022-06-21,0.215000
2022-09-19,0.179000
2022-12-19,0.218000
2023-03-20,0.118000
2023-06-20,0.192000
