Date,Dividends
2011-12-16,0.016000
2012-03-16,0.011500
2012-06-15,0.041000
2012-09-21,0.142000
2012-12-21,0.940000
2013-03-15,0.015000
2013-06-21,0.012500
2013-09-20,0.088500
2013-12-20,0.819500
2014-03-21,0.044500
2014-06-20,0.036500
2014-09-19,0.060000
2014-12-19,0.109500
2015-03-20,0.026000
2015-06-19,0.036500
2015-09-18,0.023000
2015-12-18,0.188000
2016-03-18,0.084000
2016-06-17,0.029000
2016-09-16,0.153000
2016-12-16,0.208000
2017-03-17,0.026000
2017-06-16,0.044000
2017-09-15,0.032000
2017-12-15,0.218000
2018-03-19,0.021000
2018-06-18,0.040000
2018-09-24,0.037000
2018-12-24,0.130000
2019-03-18,0.025000
2019-06-24,0.030000
2019-09-23,0.022000
2019-12-23,0.043000
2020-03-23,0.323000
2020-06-22,0.024000
2020-09-21,0.001000
2020-12-21,0.052000
2021-03-22,0.003000
2021-09-20,0.149000
2021-12-20,0.064000
2022-03-21,0.004000
2022-06-21,0.003000
2022-09-19,0.021000
2022-12-19,0.068000
2023-03-20,0.067000
2023-06-20,0.104000
